name,estab_year,employees_count,location,job_ids,skills,hr,Designation,Involvement,Exp,url
StrategyWerks,Founded in 2020,10 - 50 employees,Gurgaon,239596,"Business Development, Sales",Monika Pant,Lead Generation Specialist,Sales and Business → Sales / Business Developme,4-8 Years,https://www.instahyre.com/job-239596-lead-generation-specialist-at-strategywerks-gurgaon/
V Group,Founded in 1999,50 - 200 employees,Bhopal,239654,"Business Development, Direct Sales, International Sales",Anjali Chourasia,Business Development Manager,Sales and Business → Sales / Business Developme,5-5 Years,https://www.instahyre.com/job-239654-business-development-manager-at-v-group-bhopal/
Voiceoc,Founded in 2019,0 - 10 employees,Noida,238593,Sales,Careers Voiceoc,Inside Sales Executive,Sales and Business → Sales / Business Developme,1-2 Years,https://www.instahyre.com/job-238593-inside-sales-executive-at-voiceoc-noida/
Antsglobe Technologies,Founded in 2012,10 - 50 employees,Nagpur,235584,"Business Development, Corporate Sales, Direct Sales, Sales",Antsglobe Technologies,Sales and Marketing Professionals,Sales and Business → Sales / Business Developme,0-4 Years,https://www.instahyre.com/job-235584-sales-and-marketing-professionals-at-antsglobe-technologies-nagpur/
BlackLight Studio Works,Founded in 2011,10 - 50 employees,Noida,236118,"Business Development, Corporate Sales, International Sales, Sales",Prachi Gupta,Business Development Manager,Sales and Business → Sales / Business Developme,6-10 Years,https://www.instahyre.com/job-236118-business-development-manager-at-blacklight-studio-works-noida/
Daizzy Info System,Founded in 2017,10 - 50 employees,Indore,237055,"Business Development, Corporate Sales, International Sales, Sales, Telecalling",Jayesh M,Business Development Executive,Sales and Business → Sales / Business Developme,0-2 Years,https://www.instahyre.com/job-237055-business-development-executive-at-daizzy-info-system-indore/
Karmsoft,Founded in 2014,10 - 50 employees,Ahmedabad,233133,"Business Development, International Sales, Sales",HR Ishita Parmar,Business Development Executive,Sales and Business → Sales / Business Developme,2-4 Years,https://www.instahyre.com/job-233133-business-development-executive-at-karmsoft-ahmedabad/
La Net Team Software Solution,Founded in 2005,200 - 500 employees,Surat,233449,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales",Vickky Sahoo,Business Development Manager,Sales and Business → Sales / Business Developme,2-5 Years,https://www.instahyre.com/job-233449-business-development-manager-at-la-net-team-software-solution-surat/
NetCom Learning,Founded in 1998,50 - 200 employees,Work From Home,235234,"Business Development, International Sales, Sales",Sakshi Maithil,Key Account Manager,Sales and Business → Sales / Business Developme,6-10 Years,https://www.instahyre.com/job-235234-key-account-manager-at-netcom-learning-work-from-home/
OgreLogic Solutions,Founded in 2014,50 - 200 employees,Noida,237457,"Business Development, International Sales, Sales",Mamta Sharma,Business Development Manager,Sales and Business → Sales / Business Developme,3-6 Years,https://www.instahyre.com/job-237457-business-development-manager-at-ogrelogic-solutions-noida/
OnGrid,Founded in 2016,200 - 500 employees,Gurgaon,236106,"Business Development, Corporate Sales, Direct Sales, Sales",Mary Dsouza,Business Development Manager,Sales and Business → Sales / Business Developme,7-10 Years,https://www.instahyre.com/job-236106-business-development-manager-at-ongrid-gurgaon/
Reliance Jio,Founded in 2016,500 - 1000 employees,Bangalore,234446,Product Management,Asha L,Product Manager,Technical Management → Product Manageme,3-5 Years,https://www.instahyre.com/job-234446-product-manager-at-reliance-jio-bangalore/
University Living,Founded in 2015,50 - 200 employees,Noida,233809,"Contract Drafting, KAM, Property Acquisition, Proposal Writing",Kavita Singh,Sr. Associate / AM - Global Supply Acquisition,Sales and Business → Sales / Business Developme,6-10 Years,https://www.instahyre.com/job-233809-sr-associate-am-global-supply-acquisition-at-university-living-noida/
12th Wonder,Founded in 2012,50 - 200 employees,"Hyderabad, Pune",230779,"Customer Interaction, Customer Relationship, Customer Service",Utkarsha Nagulpelli,Inside Sales Specialist,Sales and Business → Customer Service,2-5 Years,https://www.instahyre.com/job-230779-inside-sales-specialist-at-12th-wonder-hyderabad-pune/
Alterest,Founded in 2016,10 - 50 employees,"Bangalore, Work From Home",231162,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales, Telecalling",Jeevan Param,Sales Development Representative,Sales and Business → Sales / Business Developme,2-6 Years,https://www.instahyre.com/job-231162-sales-development-representative-at-alterest-bangalore-work-from-home/
Digicides,Founded in 2017,10 - 50 employees,"Hyderabad, Pune",232279,"Business Development, Corporate Sales, Sales",Pratiksha Yaduwanshi,Sales Associate,Sales and Business → Sales / Business Developme,1-4 Years,https://www.instahyre.com/job-232279-sales-associate-at-digicides-hyderabad-pune/
Elysium Group of Companies,Founded in 1999,200 - 500 employees,Madurai,229346,"Business Development, Sales, Telecalling",Placement Egc,Business Development Executive,Sales and Business → Sales / Business Developme,1-4 Years,https://www.instahyre.com/job-229346-business-development-executive-at-elysium-group-of-companies-madurai/
i95Dev,Founded in 2000,200 - 500 employees,"Hyderabad, Work From Home",229386,"Business Development, International Sales, Lead Generation, Sales",Shikha Jain,Business Development Executive,Sales and Business → Sales / Business Developme,2-6 Years,https://www.instahyre.com/job-229386-business-development-executive-at-i95dev-hyderabad-work-from-home/
Instahyre,Founded in 2016,50 - 200 employees,"Bangalore, Mumbai",231200,"Business Development, Corporate Sales, Direct Sales, Sales",Anjana Av,Presales Executive,Sales and Business → Sales / Business Developme,2-4 Years,https://www.instahyre.com/job-231200-presales-executive-at-instahyre-bangalore-mumbai/
JellyFish Technologies,Founded in 2011,50 - 200 employees,Noida,232453,"Business Development, International Sales, Sales",Mahima Singh,Senior Business Development Specialist,Sales and Business → Sales / Business Developme,4-8 Years,https://www.instahyre.com/job-232453-senior-business-development-specialist-at-jellyfish-technologies-noida/
UIConnect,Founded in 2015,0 - 10 employees,Bangalore,231271,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales, Telecalling",Swamy B,Sales Executive (B2B),Sales and Business → Sales / Business Developme,1-4 Years,https://www.instahyre.com/job-231271-sales-executive-b2b-at-uiconnect-bangalore/
WittyPen,Founded in 2015,0 - 10 employees,Work From Home,232441,"Business Development, Corporate Sales, International Sales, Sales",Akshit Puri,Business Development Representative,Sales and Business → Sales / Business Developme,2-5 Years,https://www.instahyre.com/job-232441-business-development-representative-at-wittypen-work-from-home/
Zenduty,Founded in 2019,10 - 50 employees,Bangalore,229745,"Content Marketing, Content Writing",Vijayalakshmi R,Content Marketer (Tech),Marketing → Content Writing,1-3 Years,https://www.instahyre.com/job-229745-content-marketer-tech-at-zenduty-bangalore/
Blaash,Founded in 2021,0 - 10 employees,Bangalore,226072,"Business Development, Corporate Sales, International Sales, Sales",Mouhiit Mohan,Enterprise SAAS Sales,Sales and Business → Sales / Business Developme,2-4 Years,https://www.instahyre.com/job-226072-enterprise-saas-sales-at-blaash-bangalore/
Cashfree,Founded in 2015,200 - 500 employees,Bangalore,226959,"AWS, Kubernetes, Linux, Terraform",Prashant Shetty,DevOps Engineer 3,IT Operations and Support → DevOps / Cloud,5-8 Years,https://www.instahyre.com/job-226959-devops-engineer-3-at-cashfree-bangalore/
Elysium Group of Companies,Founded in 1999,200 - 500 employees,Madurai,229342,"Business Development, Corporate Sales, Direct Sales, International Sales, Sales, Telecalling",Placement Egc,IT Sales Manager,Sales and Business → Sales / Business Developme,1-3 Years,https://www.instahyre.com/job-229342-it-sales-manager-at-elysium-group-of-companies-madurai/
Fleetx,Founded in 2017,200 - 500 employees,"Ahmedabad, Gandhidham, Mumbai",227715,"Business Development, Direct Sales, Sales",Yesha Verma,Area Sales Manager,Sales and Business → Sales / Business Developme,4-8 Years,https://www.instahyre.com/job-227715-area-sales-manager-at-fleetx-ahmedabad-gandhidham-mumbai/
NimbusPost,Founded in 2014,50 - 200 employees,Gurgaon,225219,"Business Development, Sales",Preety,Inside Sales Executive,Sales and Business → Sales / Business Developme,0-1 Years,https://www.instahyre.com/job-225219-inside-sales-executive-at-nimbuspost-gurgaon/
OgreLogic Solutions,Founded in 2014,50 - 200 employees,Noida,226831,"Business Development, Direct Sales, International Sales, Sales",Mamta Sharma,Business Development Executive,Sales and Business → Sales / Business Developme,3-5 Years,https://www.instahyre.com/job-226831-business-development-executive-at-ogrelogic-solutions-noida/
Pharoscion,Founded in 2018,10 - 50 employees,Pune,227643,"Business Development, Corporate Sales, Sales",Priyadarsani Panda,IT Sales Consultant,Sales and Business → Sales / Business Developme,1-2 Years,https://www.instahyre.com/job-227643-it-sales-consultant-at-pharoscion-pune/
Suvidhaa,Founded in 2007,200 - 500 employees,Mumbai,228865,"Digital Marketing, Google Analytics, Performance Marketing, Google Ads",Asha Mathpal,Digital Marketing Manager,"Marketing → Online Marketing, SEO / SEM",3-8 Years,https://www.instahyre.com/job-228865-digital-marketing-manager-at-suvidhaa-mumbai/
Tekion,Founded in 2016,50 - 200 employees,Noida,227483,"React.js, Architecture, HTML, JavaScript, Redux",Kaberi Baruah,Staff Engineer,Software Engineering → Frontend Developme,8-12 Years,https://www.instahyre.com/job-227483-staff-engineer-at-tekion-noida/
Training4Impact,Founded in 2022,0 - 10 employees,"Lucknow, Work From Home",225933,"Business Development, Sales, Telecalling",Neha Dharni,Inside Sales Executive,Sales and Business → Sales / Business Developme,0-1 Years,https://www.instahyre.com/job-225933-inside-sales-executive-at-training4impact-lucknow-work-from-home/
Benchmark Email,Founded in 2004,50 - 200 employees,Gurgaon,224615,"Business Development, Corporate Sales, Sales, Telecalling",Rehan Zafar,Business Development,Sales and Business → Sales / Business Developme,2-6 Years,https://www.instahyre.com/job-224615-business-development-at-benchmark-email-gurgaon/
FieldAssist,Founded in 2014,50 - 200 employees,Mumbai,214020,"Business Development, Sales, Sales Enablement",Feroj Sayyad,Sales & Business Development,Sales and Business → Sales / Business Developme,4-7 Years,https://www.instahyre.com/job-214020-sales-business-development-at-fieldassist-mumbai/
Fitbots,Founded in 2018,50 - 200 employees,"Bangalore, Mumbai",218579,"Customer Relationship, Key Account Management",Shilpa Lalgeri,Customer Success Representative,Sales and Business → Sales / Business Developme,0-2 Years,https://www.instahyre.com/job-218579-customer-success-representative-at-fitbots-bangalore-mumbai/
Hevo Data,Founded in 2017,200 - 500 employees,Bangalore,204813,Java,Ashna Thakur,SDE III - Technical Lead,Software Engineering → Backend Developme,6-9 Years,https://www.instahyre.com/job-204813-sde-iii-technical-lead-at-hevo-data-bangalore/
Leegality,Founded in 2016,50 - 200 employees,"Bangalore, Gurgaon, Mumbai",222412,"Customer Interaction, Customer Relationship, Customer Service, Key Account Management",Vandana Chauhan,Customer Success - Implementation Specialist,Sales and Business → Customer Service,0-2 Years,https://www.instahyre.com/job-222412-customer-success-implementation-specialist-at-leegality-bangalore-gurgaon-mumbai/
MCSAM,Founded in 2011,10 - 50 employees,Gurgaon,206538,"Business Development, International Sales, Sales",Purvi Aggarwal,Software Sales,Sales and Business → Sales / Business Developme,1-3 Years,https://www.instahyre.com/job-206538-software-sales-at-mcsam-gurgaon/
NIUM,Founded in 2014,More than 1000 employees,Bangalore,206513,".NET, C#, Django, Golang, Hibernate, J2EE, Java, Python",Mir Mohammed Raza,Senior Software Engineer,Software Engineering → Backend Developme,3-7 Years,https://www.instahyre.com/job-206513-senior-software-engineer-at-nium-bangalore/
Qualimatrix Technologies,Founded in 2021,10 - 50 employees,Indore,205510,"Business Development, Sales",Vikram Mishra,Bussiness Development Executive,Sales and Business → Sales / Business Developme,0-2 Years,https://www.instahyre.com/job-205510-bussiness-development-executive-at-qualimatrix-technologies-indore/
Reckonsys Tech Labs,Founded in 2015,50 - 200 employees,Bangalore,219087,"Content Marketing, Content Writing",Recruit Reckonsys,Content Strategist,Marketing → Content Writing,3-7 Years,https://www.instahyre.com/job-219087-content-strategist-at-reckonsys-tech-labs-bangalore/
TurningCloud Solutions,Founded in 2015,10 - 50 employees,Gurgaon,215542,"Business Development, Corporate Sales, Direct Sales, Sales",Meetu Yadav,IT Product / Sales Manager,Sales and Business → Sales / Business Developme,1-5 Years,https://www.instahyre.com/job-215542-it-product-sales-manager-at-turningcloud-solutions-gurgaon/
